series,episode,baker,signature,technical,showstopper
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4th,Cornucopia
6,3,Dorret,Walnut and Stilton Soda Breads,6th,Unmade Bread
6,3,Flora,Fig and Hazelnut Rye Breads,2nd,Herb Couture
6,3,Ian,Wild Garlic Pesto Soda Breads,1st,Flour Power
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8th,Curry Inspired Brighton Pavilion
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,9th,Snake Charmer's Basket
6,3,Paul,Cranberry and Orange Sweet Soda Breads,10th,King of the Jungle
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,7th,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
6,3,Tamal,"Fig, Cheese and Walnut Breads",3rd,Breadcycle
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,5th,Easter Basket
6,4,Alvin,Blackberry Crème Brûlées,9th,Tower of Fruits Cheesecakes
6,4,Flora,Rhubarb and Ginger Crème Brûlées,3rd,Elderflower and Granola Cheesecakes
6,4,Ian,Pomegranate Two Ways Crème Brûlées,4th,Trio of Spicy and Herby Baked Cheesecakes
6,4,Mat,Coconut Crème Brûlées,7th,Chocolate Bar Cheesecakes
6,4,Nadiya,Cinnamon Tea Crème Brûlées,8th,Fizzy Pop Cheesecakes
6,4,Paul,Almond Crème Brûlées,1st,Berry Cheesecake Tower
6,4,Sandy,Pontefract Crème Brûlées,6th,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,5th,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,2nd,"Lime, Coconut and Hazelnut Cheesecakes"
6,5,Alvin,Pineapple Upside-Down Cake,8th,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",3rd,Chocolate and Pear Bûche
6,5,Ian,Honey and Flowers Cake,5th,Dessert Island
6,5,Mat,Sugar-Free Carrot Cake,4th,Raspberry and Coconut Ice Cream Roll
6,5,Nadiya,Naked Blueberry and Caraway Crunch Cake,1st,Chocolate and Strawberry Lime Ice Cream Roll
6,5,Paul,Carrot & Pecan Cake,2nd,Dessert Island Getaway
6,5,Tamal,Honey and Grapefruit Polenta Cake,7th,Passion Fruit and Pineapple Ice Cream Roll
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,6th,"Chocolate, Peanut Butter and Grape Jam Roll"
6,6,Alvin,Plum Frangipane Tart,6th,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Flora,Apricot and Rosemary Frangipane Tart,2nd,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,Pear and Raspberry Frangipane Tart,3rd,Vol-au-vents Terre et Mer
6,6,Mat,Piña Colada Frangipane Tart,1st,His 'n' Hers Vol-au-vents
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",4th,Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,Christmas Frangipane Tart,5th,Savoury and Sweet Bouchées
6,6,Tamal,Spiced Pear Frangipane Tart,7th,Fennel and Rosemary Pulled Pork and Chicken and Coriander Vol-au-vents
6,7,Flora,Game Pie with Shallot and Apple Chutney,4th,"Raspberry, Pomegranate and Champagne Charlotte Russe"
