series,episode,baker,signature,technical,showstopper
8,1,Flo,Citrus Layer Cake,9th,'One in a Melon' Cake
8,1,James,"Orange, Rhubarb & Ginger Crumble Cake",2nd,'Mock-accino and Croissant' Cake
8,1,Julia,Courgette Lemon Cake,3rd,'Russian Doll' Cake
8,1,Kate,Moroccan Strawberry and Rose Cake,1st,'Chocolate Terrarium' Cake
8,1,Liam,Apple and Almond Crumble Maple Loaf,8th,'Stackin' Sunday' Cake
8,1,Peter,Coconut Cake,10th,'Bread on a Breadboard' Cake
8,1,Sophie,Pineapple and Coconut Sandwich Cake,5th,'Champagne Bottle and Bucket' Cake
8,1,Stacey,Granny Smith Apple and Walnut Cake,11th,'Black Evening Clutch Bag' Cake
8,1,Steven,Bonfire Night Cake,6th,'A Baker's Lunch' Cake
8,1,Tom,Gilded Pear and Cardamom Cake,7th,'Stack of Books' Cake
8,1,Yan,Windfall Apple Crumble Cake,4th,'Banana-Ramen' Cake
8,2,Chris,Chocolate Chia seed Biscuits with Whisky Caramel Filling,11th,'The Great British Sail Off' Game
8,2,Flo,Gin Jam Butties,10th,'Pick My Bones' Game
8,2,James,Rhubarb and Custard Whirls,3rd,'Coppit' Game
8,2,Julia,Middle Eastern Delight Sandwich Biscuits,4th,'A British Baking' Game
8,2,Kate,Coconut Seashells for a Titanic Afternoon Tea,8th,'Jungle' Game
8,2,Liam,Coffee Malted Pecan Shorties,7th,'Classroom Classics' Game
8,2,Sophie,Lemon Limoncino Sandwich Biscuits,2nd,'Snakes and Ladders' Game
8,2,Stacey,Sparkly Chocolate and Marshmallow Fluff Cookies,9th,'Get to School' Game
8,2,Steven,Amarpressi Biscuits,6th,'Check Bake' Game
8,2,Tom,Coffee and Amaretto Kisses,5th,'Drain Pipes and Ladders' Game
8,2,Yan,'Mrs. Marian's PB 'n' B' Biscuits,1st,'Adventures in Bakeland' Game
8,3,Flo,Cinnamon and Orange Teacakes,7th,'Davy Jones' Locker' Bread Sculpture
8,3,James,Nordic Teacakes,9th,'Owl in the Woods' Bread Sculpture
8,3,Julia,Earl Grey Dried Fruit Teacakes,2nd,'The Snail Under a Mushroom' Bread Sculpture
8,3,Kate,Blueberry Buns,10th,'Kraken' Bread Sculpture
8,3,Liam,Jamaican Spiced Teacakes,5th,'Kneadapolitan' Bread Sculpture
8,3,Sophie,Tagine Teacakes,6th,'Picnic Basket' Bread Sculpture
8,3,Stacey,Cranberry and Cinnamon Teacakes,1st,'Ascot Hat' Bread Sculpture
8,3,Steven,Madras Cocktail Teacakes,3rd,'The Bag I Knead' Bread Sculpture
8,3,Tom,Orange and Cranberry Teacakes,4th,'Pink & Yellow Rose Centrepiece' Bread Sculpture
8,3,Yan,'Mrs's P's' Masala Chai Spiced Teacakes,8th,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
8,4,James,'Windy City' Millionaire Shortbreads,2nd,Nutty Caramel Cake
8,4,Julia,Pecan Salted Caramel Millionaire Shortbreads,9th,Poppy Seed Caramel Cake
8,4,Kate,Salted Bay Caramel Millionaire Shortbreads,6th,Sticky Toffee Apple Caramel Cake
